Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
1726064640.141294,<obd.OBDResponse.Status object at 0x7f2d8f2a1d10>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,87,2.34375,4.6875,42,847.0,0.0,3.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.8,0.665,India OBD II (IOBD II),131.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,12.957,25.098039215686274,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
1726064641.6771486,<obd.OBDResponse.Status object at 0x7f2d8f152f10>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,87,0.78125,4.6875,42,840.5,0.0,4.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.13,0.635,India OBD II (IOBD II),132.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,13.099,25.49019607843137,7.450980392156863,17.254901960784313,14.509803921568627,7.450980392156863,9.411764705882353
1726064643.2070928,<obd.OBDResponse.Status object at 0x7f2d8f154590>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,87,2.34375,4.6875,42,850.5,0.0,3.0,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.82,0.665,India OBD II (IOBD II),134.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,12.934000000000001,25.098039215686274,7.0588235294117645,17.254901960784313,14.509803921568627,7.450980392156863,9.411764705882353
1726064644.7366862,<obd.OBDResponse.Status object at 0x7f2d8f155650>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,88,-0.78125,4.6875,42,847.5,0.0,3.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.6,0.645,India OBD II (IOBD II),135.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,13.028,25.49019607843137,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
1726064646.279104,<obd.OBDResponse.Status object at 0x7f2d8f156450>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.72549019607843,88,1.5625,4.6875,42,851.0,0.0,3.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.795,0.625,India OBD II (IOBD II),137.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,13.099,25.49019607843137,7.450980392156863,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
1726064647.8090994,<obd.OBDResponse.Status object at 0x7f2d8f157090>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,88,0.0,4.6875,41,855.0,0.0,3.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.805,0.665,India OBD II (IOBD II),138.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,12.957,25.098039215686274,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
1726064649.338929,<obd.OBDResponse.Status object at 0x7f2d8f157d10>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.72549019607843,88,0.0,4.6875,42,839.0,0.0,3.0,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.115,0.605,India OBD II (IOBD II),140.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,13.075000000000001,25.098039215686274,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
1726064650.8689318,<obd.OBDResponse.Status object at 0x7f2d8f154990>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",33.333333333333336,88,2.34375,4.6875,42,850.5,0.0,3.5,52,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.795,0.63,India OBD II (IOBD II),141.0,10000000000001011010000000000001,0.0,0.0,255.0,52301.0,100,01101010110100000000000000000000,13.004,25.49019607843137,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,9.411764705882353
