Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,MAF,THROTTLE_POS,O2_SENSORS,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,O2_S1_WR_VOLTAGE,COMMANDED_EGR,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,O2_S1_WR_CURRENT,CATALYST_TEMP_B1S1,CATALYST_TEMP_B1S2,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,COMMANDED_EQUIV_RATIO,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,THROTTLE_ACTUATOR,RUN_TIME_MIL,TIME_SINCE_DTC_CLEARED,FUEL_TYPE,Timestamp_gps,Latitude,Longitude
1728327019.73284,,,0,83,,,115,1100,100,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327020.3601,15.262601,73.978126
1728327020.06865,,,0,83,,,115,1120,104,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327020.4621,15.262601,73.978126
1728327021.64638,,,0,83,,,115,1140,108,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327022.29832,15.262601,73.978126
1728327021.95267,,,0,83,,,115,1160,112,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327022.40244,15.262601,73.978126
1728327023.57214,,,0,83,,,115,1180,116,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327024.24913,15.262601,73.978126
1728327023.86759,,,0,83,,,115,1200,120,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327024.35335,15.262601,73.978126
1728327025.52204,,,0,83,,,115,1220,116,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327026.09765,15.262601,73.978126
1728327025.8091,,,0,83,,,115,1240,112,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327026.20175,15.262601,73.978126
1728327027.37594,,,0,83,,,115,1260,108,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327028.06749,15.262601,73.978126
1728327027.68053,,,0,83,,,115,1280,104,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327028.17158,15.262602,73.978127
